Date,Day,Calls Made,Owner,Fumbled/ Rejected,Submitted,Interesting/busy right now,Session.,-,-,Notes,Owner Ratio,Submission Ratio
01-12-2026,Monday,35,4,3,1,,Total,Active/Gap,Average Call,,11.42857143,2.857142857
01-13-2026,Tuesday,75,9,9,0,,,,,,12,0
01-14-2026,Wednesday,50,9,9,0,,,,,,18,0
01-15-2026,Thursday,50,7,9,1,,,,,,14,2
01-16-2026,Friday,50,8,8,0,,,,,Ayaan talked to most of the owners.,16,0
01-17-2026,Saturday,0,0,0,0,,,,,,,
01-18-2026,Sunday,0,0,0,0,,,,,,0,0
01-19-2026,Monday,128,10,8,1,1,,,,,7.8125,0.78125
01-20-2026,Tuesday,35,3,3,0,,,,,,8.571428571,0
01-21-2026,Wednesday,30,3,2,0,,,,,the 4th call was the submission,10,0
01-22-2026,Thursday,68,7,6,1,,,,,"it was owners son, he said I'll do a demo call( gave time and phone number)",10.29411765,1.470588235
01-23-2026,Friday,130,10,10,0,,,,,because friday.,7.692307692,0
01-24-2026,Saturday,0,0,0,0,,,,,,,
01-25-2026,Sunday,0,0,0,0,,,,,,,
01-26-2026,Monday,130,12,10,0,2,9:40pm-2:20am(4 hour:40 mins),"2 h 37 m active calling, 2 h 33 m gap ",1 min 7 s,snowfall in New York. so owners busy. fumbled so many calls because wasn't ready and didn't practice enough ,9.230769231,0
01-27-2026,Tuesday,165,17,13,0,3,10:15pm-2:57am(4 hour: 42 mins),"3 h 7 m active, 1 h 35 gap.",1 m 8 s,,10.3030303,0
01-28-2026,Wednesday,168,8,7,1,,9:55pm-1:50am(3 h 55m),all active,1 m 24 s,Hashaam did 85% of these.,4.761904762,0.5952380952
01-29-2026,Thursday,90,7,7,,,,,,"bad day, nooh slept early BY MISTAKE",7.777777778,0
01-30-2026,Friday,80,5,1,3,1,8: 27pm-11-40pm. 12:15-12:50am(3 h 44m),"90 mins gap, 138 active calling.",1 m 43 s ,,6.25,3.75
01-31-2026,Saturday,0,0,0,0,,,,,,,
,TOTAL,1284,119,105,8,7,,,,,9.267912773,0.6230529595
,End of Month Report,Qualified 3,Closed 0,,,,,,,,,
02-01-2026,Sunday,25,1,1,,,,,,,,
02-02-2026,Monday,160,8,7,0,1,8pm-10pm; 12:15am-2:03am(3 h 48m),,,majority ppl didnt pickup for some reason.,,
